List of genes that are upregulated in the fat body from 50-day-old wild-type flies ,,,,,,,,,
Chromtin name,Start site,End site,Strand,Symbol,logFC,PValue,FDR,Upregulation,Downregulation
chr2R,17447750,17458957,-,CG10440,3.04902828,3.31E-21,1.37E-19,TRUE,FALSE
chr2R,17477890,17479089,+,CG33225,3.460900698,3.58E-15,9.79E-14,TRUE,FALSE
chr2R,17495897,17500594,-,CG15673,1.105577493,0.000186372,0.00126314,TRUE,FALSE
chr2R,17548471,17549749,-,pirk,5.213060091,2.03E-50,4.08E-48,TRUE,FALSE
chr2R,17551937,17553613,+,CG42363,2.071786625,3.60E-12,7.60E-11,TRUE,FALSE
chr2R,17551937,17553613,+,CG42362,2.071786625,3.60E-12,7.60E-11,TRUE,FALSE
chr2R,17553444,17554084,+,CG42364,3.13530806,8.27E-10,1.31E-08,TRUE,FALSE
chr2R,17554251,17555099,+,CG42365,1.364568132,8.80E-06,7.80E-05,TRUE,FALSE
chr2R,17559204,17559850,+,CG15676,5.341532656,0.009538267,0.039278281,TRUE,FALSE
chr2R,17579094,17580269,+,CG42496,1.13052994,6.61E-05,0.000491074,TRUE,FALSE
chr2R,17579094,17580269,+,Ppcdc,1.13052994,6.61E-05,0.000491074,TRUE,FALSE
chr2R,17708348,17718853,-,CG13492,1.697679518,1.81E-08,2.40E-07,TRUE,FALSE
chr2R,17720005,17721012,-,CG34040,4.471031193,1.68E-35,1.69E-33,TRUE,FALSE
chr2R,17721734,17722534,-,CG4363,3.867113387,2.70E-30,2.04E-28,TRUE,FALSE
chr2R,17722952,17723835,-,CG4377,3.319039454,4.95E-23,2.51E-21,TRUE,FALSE
chr2R,17839195,17840068,+,CG13488,2.868290182,2.52E-05,0.00020616,TRUE,FALSE
chr2R,18051271,18052099,-,CG34206,2.497616343,0.000747092,0.00432648,TRUE,FALSE
chr2R,18064923,18070337,-,CG11170,1.915073925,3.26E-10,5.34E-09,TRUE,FALSE
chr2R,18066685,18067033,+,CG30279,1.630732198,0.00075635,0.004373608,TRUE,FALSE
chr2R,18077325,18090178,-,CG3074,2.013969392,1.15E-11,2.34E-10,TRUE,FALSE
chr2R,18093509,18095492,-,CG3290,1.270349724,2.54E-06,2.46E-05,TRUE,FALSE
chr2R,18220630,18221010,+,CG34208,2.227675988,9.23E-11,1.67E-09,TRUE,FALSE
chr2R,18482192,18483855,+,CG3927,6.862280107,6.53E-07,6.90E-06,TRUE,FALSE
chr2R,18486859,18487861,+,CG4269,6.383212434,1.54E-67,6.28E-65,TRUE,FALSE
chr2R,18501834,18521590,+,CG33143,1.502366315,1.77E-06,1.75E-05,TRUE,FALSE
chr2R,18540077,18542032,-,Cyp6d2,1.000513368,0.000585528,0.003476239,TRUE,FALSE
chr2R,18545409,18546718,+,CG13510,2.431645247,2.32E-16,7.18E-15,TRUE,FALSE
chr2R,18547216,18547643,+,CG13511,2.673975823,2.86E-07,3.19E-06,TRUE,FALSE
chr2R,18547987,18548894,+,CG42565,2.616617551,9.20E-14,2.23E-12,TRUE,FALSE
chr2R,18549438,18550746,+,CG42566,3.145892296,1.52E-14,3.94E-13,TRUE,FALSE
chr2R,18553051,18553634,+,CG42867,2.08128337,4.31E-12,9.02E-11,TRUE,FALSE
chr2R,18554660,18555445,+,CG30273,1.126385992,6.08E-05,0.000454028,TRUE,FALSE
chr2R,18555446,18556352,+,CG30269,1.281891787,6.50E-06,5.89E-05,TRUE,FALSE
chr2R,18695808,18703498,+,stl,1.361979264,4.11E-05,0.000318025,TRUE,FALSE
chr2R,18743210,18746317,-,inaD,8.789895861,1.81E-18,6.46E-17,TRUE,FALSE
chr2R,18754043,18758229,+,fd59A,3.937632008,9.85E-05,0.000705792,TRUE,FALSE
chr2R,18758814,18761956,+,CG13532,3.588171663,3.64E-14,9.14E-13,TRUE,FALSE
chr2R,18826509,18828467,-,CG3831,1.669687567,2.92E-09,4.21E-08,TRUE,FALSE
chr2R,18871795,18872837,-,CG32833,5.219232751,0.009538267,0.039278281,TRUE,FALSE
chr2R,18952306,18954706,+,CG42640,2.355198526,2.19E-10,3.68E-09,TRUE,FALSE
chr2R,18969725,18970889,+,Gr59b,6.491554002,9.97E-06,8.76E-05,TRUE,FALSE
chr2R,18974784,18975688,+,CG13538,5.454270306,0.006031936,0.026565884,TRUE,FALSE
chr2R,18987579,18987982,-,RpL37b,5.656327027,0.002442981,0.012151902,TRUE,FALSE
chr2R,19245182,19246419,+,CG9875,1.472651936,7.23E-07,7.60E-06,TRUE,FALSE
chr2R,19246240,19246988,+,CG34423,1.295573692,2.25E-06,2.19E-05,TRUE,FALSE
chr2R,19271165,19272978,-,CG30414,1.16690789,0.000130146,0.000909878,TRUE,FALSE
chr2R,19390852,19391197,+,CG13559,1.154992316,9.31E-05,0.000669958,TRUE,FALSE
chr2R,19398808,19399747,-,CG3906,2.454960955,2.01E-06,1.97E-05,TRUE,FALSE
chr2R,19407361,19411096,-,chrw,1.581061885,3.04E-08,3.92E-07,TRUE,FALSE
chr2R,19438837,19441079,+,Dcp-1,1.550053143,4.99E-08,6.12E-07,TRUE,FALSE
chr2R,19487045,19488310,-,CG42560,6.567224794,8.65E-36,8.87E-34,TRUE,FALSE
chr2R,19487050,19488310,-,CG42559,6.656026569,6.86E-37,7.61E-35,TRUE,FALSE
chr2R,19488436,19489296,-,IM18,8.583680667,1.19E-101,2.57E-98,TRUE,FALSE
chr2R,19488436,19489296,-,CG10332,8.583680667,1.19E-101,2.57E-98,TRUE,FALSE
chr2R,19573201,19575503,+,CG11293,1.68340005,0.000517445,0.003113754,TRUE,FALSE
chr2R,19575680,19578107,+,Pal,1.342888867,2.75E-05,0.000222498,TRUE,FALSE
chr2R,19691837,19693772,-,CG13561,5.454270306,0.006031936,0.026565884,TRUE,FALSE
chr2R,19692333,19693411,+,CG5539,5.656327027,0.002442981,0.012151902,TRUE,FALSE
chr2R,19728983,19730802,-,shu,1.103968641,0.000100466,0.000719047,TRUE,FALSE
chr2R,19876239,19879573,+,Pask,1.462700312,4.69E-06,4.36E-05,TRUE,FALSE
chr2R,19914055,19915040,+,PebIII,1.466098952,8.49E-08,1.02E-06,TRUE,FALSE
chr2R,19918164,19918724,-,CG30172,2.726369322,4.64E-06,4.32E-05,TRUE,FALSE
chr2R,19942828,19945124,+,CG13563,1.395181862,0.000973863,0.005451321,TRUE,FALSE
chr2R,20002189,20003887,+,CG3253,6.26301416,5.08E-05,0.000383105,TRUE,FALSE
chr2R,20014160,20021074,-,tamo,1.300223207,4.42E-06,4.13E-05,TRUE,FALSE
chr2R,20193404,20200626,+,betaTub60D,1.885446281,2.95E-11,5.75E-10,TRUE,FALSE
chr2R,20266158,20277235,-,mAcR-60C,1.558542697,1.74E-07,2.00E-06,TRUE,FALSE
chr2R,20292117,20298070,-,SerT,3.098713277,3.37E-15,9.25E-14,TRUE,FALSE
chr2R,20302930,20315910,-,prom,4.086491351,1.19E-20,4.76E-19,TRUE,FALSE
chr2R,20338604,20340560,-,CG4563,4.128342441,2.25E-05,0.000186293,TRUE,FALSE
chr2R,20360234,20361756,+,CG3492,7.586052437,1.55E-10,2.72E-09,TRUE,FALSE
chr2R,20361821,20362704,+,CG3494,2.486451287,0.001026424,0.005688524,TRUE,FALSE
chr2R,20498356,20501879,-,CG4741,1.583476144,0.0053209,0.023916296,TRUE,FALSE
chr2R,20673034,20674919,-,key,1.595906726,2.32E-08,3.04E-07,TRUE,FALSE
chr2R,20785800,20787028,+,CG9083,1.193487872,0.00769073,0.032664239,TRUE,FALSE
chr2R,20786925,20788191,-,CG2857,1.655266986,0.002605008,0.01287984,TRUE,FALSE
chr2R,20858365,20859365,-,Phk-3,1.853201204,2.23E-11,4.43E-10,TRUE,FALSE
chr2R,20919902,20927520,+,Nplp1,1.090688922,0.00249806,0.012403932,TRUE,FALSE
chr2R,20927904,20939850,-,gsb-n,6.26301416,5.08E-05,0.000383105,TRUE,FALSE
chr2R,21071151,21076360,-,CG9380,1.42911973,1.33E-06,1.33E-05,TRUE,FALSE
chr2RHet,197401,198033,-,CG41257,4.482916632,9.28E-07,9.55E-06,TRUE,FALSE
chr3L,22946,26316,+,mthl8,10.93802488,4.61E-41,6.26E-39,TRUE,FALSE
chr3L,216644,218058,+,Kaz1-ORFB,1.627808457,1.68E-08,2.25E-07,TRUE,FALSE
chr3L,217931,223069,-,pyx,1.254821547,5.98E-06,5.44E-05,TRUE,FALSE
chr3L,218066,218663,+,CG13877,1.598383373,1.66E-08,2.22E-07,TRUE,FALSE
chr3L,231015,231589,-,CG42846,1.139796068,5.54E-05,0.000415643,TRUE,FALSE
chr3L,267763,270338,+,miple,1.508616522,1.96E-05,0.000163784,TRUE,FALSE
chr3L,272209,273370,-,CG32845,1.66101118,0.001718736,0.009037149,TRUE,FALSE
chr3L,356421,357664,+,CG1231,3.885737319,0.000143151,0.000993044,TRUE,FALSE
chr3L,582823,589272,-,CG17181,1.536047704,2.12E-07,2.41E-06,TRUE,FALSE
chr3L,685941,687948,-,CG3344,1.945833939,1.10E-09,1.71E-08,TRUE,FALSE
chr3L,688522,690081,-,CG32483,4.366936838,2.53E-33,2.27E-31,TRUE,FALSE
chr3L,833061,833209,-,snoRNA:Psi18S-1086,5.454270306,0.006031936,0.026565884,TRUE,FALSE
chr3L,871902,893522,+,CG32479,1.067601331,0.000164631,0.001132071,TRUE,FALSE
chr3L,877280,881873,-,CG13907,1.003536122,0.000232484,0.001545109,TRUE,FALSE
chr3L,897379,898772,+,CG34057,2.723288178,9.63E-11,1.74E-09,TRUE,FALSE
chr3L,902897,903810,+,CG13905,3.435674257,5.15E-28,3.46E-26,TRUE,FALSE
chr3L,1194738,1195302,-,LysX,6.09476117,4.72E-51,1.02E-48,TRUE,FALSE
chr3L,1237132,1238313,-,CG9192,2.21730438,0.000774802,0.00446466,TRUE,FALSE
chr3L,1295741,1298497,+,CG9139,1.219323929,1.69E-05,0.000143074,TRUE,FALSE
chr3L,1318481,1329623,+,Myo61F,1.073047113,8.12E-05,0.000589409,TRUE,FALSE
chr3L,1463791,1468483,+,rho,1.681977327,9.81E-09,1.35E-07,TRUE,FALSE
chr3L,1475430,1489547,-,stet,1.934394885,1.28E-10,2.27E-09,TRUE,FALSE
chr3L,1523411,1534034,-,CG12090,1.367560797,1.21E-06,1.23E-05,TRUE,FALSE
chr3L,1694616,1696412,+,CG12011,3.141830792,0.009943457,0.040504413,TRUE,FALSE
chr3L,1720615,1723153,-,CG18171,1.478010788,3.53E-07,3.88E-06,TRUE,FALSE
chr3L,1724389,1725647,+,CG12035,3.130736534,1.95E-08,2.58E-07,TRUE,FALSE
chr3L,1735853,1737806,-,CG18173,1.687078649,1.37E-05,0.000117793,TRUE,FALSE
chr3L,1824126,1831783,-,Cpr62Ba,3.576877761,6.76E-08,8.18E-07,TRUE,FALSE
chr3L,1885658,1891470,+,CG12026,1.269592959,0.00017995,0.001224018,TRUE,FALSE
chr3L,1893415,1910197,-,CG1887,1.038335886,0.000323299,0.002074618,TRUE,FALSE
chr3L,1921306,1933448,+,Dbx,6.188515165,1.51E-22,7.07E-21,TRUE,FALSE
chr3L,1933630,1938740,-,CG5687,1.246363592,3.51E-06,3.33E-05,TRUE,FALSE
chr3L,2037370,2038183,-,CG42355,4.036136194,0.000181573,0.001232835,TRUE,FALSE
chr3L,2172994,2174332,-,CG15820,1.453718994,2.85E-05,0.000229184,TRUE,FALSE
chr3L,2266393,2267640,+,CG13806,3.061281918,0.001858998,0.009610452,TRUE,FALSE
chr3L,2267869,2268530,+,obst-I,5.558833162,0.002442981,0.012151902,TRUE,FALSE
chr3L,2268826,2269903,+,CG32302,3.043841299,1.27E-12,2.81E-11,TRUE,FALSE
chr3L,2498703,2503584,-,CG16758,2.304429855,8.60E-16,2.54E-14,TRUE,FALSE
chr3L,2595812,2597000,+,CG16984,1.258596813,0.004702503,0.021489013,TRUE,FALSE
chr3L,2648049,2650205,+,CG1246,1.179361237,8.05E-05,0.000585374,TRUE,FALSE
chr3L,2848575,2871710,-,CG9973,6.26301416,0.000117022,0.000823082,TRUE,FALSE
chr3L,3165181,3169080,+,CG32280,1.244941323,1.22E-05,0.000105898,TRUE,FALSE
chr3L,3171613,3172545,-,CG14963,1.393657468,5.95E-06,5.42E-05,TRUE,FALSE
chr3L,3187562,3188106,+,CG14957,11.03184548,2.90E-43,4.38E-41,TRUE,FALSE
chr3L,3188024,3189747,-,CG42525,8.368770668,6.42E-16,1.92E-14,TRUE,FALSE
chr3L,3189993,3190623,+,CG14958,5.454270306,0.00383076,0.018063273,TRUE,FALSE
chr3L,3202237,3203162,-,CG32271,3.785060909,2.51E-09,3.64E-08,TRUE,FALSE
chr3L,3205538,3206363,-,CG33160,2.362016212,0.003158941,0.015273111,TRUE,FALSE
chr3L,3268494,3268994,+,CG34265,6.810326998,1.30E-23,6.74E-22,TRUE,FALSE
chr3L,3271037,3276257,+,CG14960,5.558833162,0.00383076,0.018063273,TRUE,FALSE
chr3L,3280246,3290892,+,CG12017,2.66535263,0.000708213,0.004121902,TRUE,FALSE
chr3L,3294751,3298958,+,CG12009,5.310535678,1.74E-10,3.04E-09,TRUE,FALSE
chr3L,3314348,3314682,+,dro2,4.024493371,3.07E-09,4.42E-08,TRUE,FALSE
chr3L,3314995,3315356,+,dro3,7.986319549,5.26E-51,1.12E-48,TRUE,FALSE
chr3L,3315636,3315944,+,dro4,6.251031992,2.79E-61,9.77E-59,TRUE,FALSE
chr3L,3316808,3317144,+,dro5,8.437040176,5.50E-86,4.61E-83,TRUE,FALSE
chr3L,3336031,3336418,-,dro6,6.820824592,9.55E-07,9.82E-06,TRUE,FALSE
chr3L,3369568,3369942,+,Drs,7.254880907,5.84E-84,4.20E-81,TRUE,FALSE
chr3L,3376756,3377687,+,CG12012,1.424742943,3.76E-07,4.11E-06,TRUE,FALSE
chr3L,3378267,3380083,+,CG12014,1.001718128,0.000731713,0.004245571,TRUE,FALSE
chr3L,3466413,3468103,+,CycJ,1.866181735,8.16E-09,1.14E-07,TRUE,FALSE
chr3L,3615381,3616682,+,CG10357,6.26301416,7.70E-05,0.000562511,TRUE,FALSE
chr3L,3934717,3935992,+,Eip63F-2,2.122353118,2.77E-07,3.10E-06,TRUE,FALSE
chr3L,3938623,3940084,-,CG12766,2.016410781,2.26E-11,4.48E-10,TRUE,FALSE
chr3L,4003471,4006626,+,CG14985,1.199661231,4.86E-05,0.00037022,TRUE,FALSE
chr3L,4059805,4061923,+,CG18869,2.613452381,2.03E-12,4.37E-11,TRUE,FALSE
chr3L,4069368,4070281,+,CG32259,3.241123513,2.47E-17,8.35E-16,TRUE,FALSE
chr3L,4088999,4091677,+,CG14989,3.61523774,4.78E-10,7.73E-09,TRUE,FALSE
chr3L,4114288,4122423,-,Chd64,1.73446905,1.52E-09,2.30E-08,TRUE,FALSE
chr3L,4141466,4142070,+,Akh,2.336211319,0.001029193,0.005701775,TRUE,FALSE
chr3L,4143091,4145852,+,CG32260,5.067731039,2.82E-34,2.63E-32,TRUE,FALSE
chr3L,4254773,4256055,+,CG1265,1.082525816,0.000213239,0.001428542,TRUE,FALSE
chr3L,4384454,4403186,+,slow,2.071108127,1.44E-11,2.89E-10,TRUE,FALSE
chr3L,4422245,4426364,+,CG15020,5.454270306,0.006031936,0.026565884,TRUE,FALSE
chr3L,4533171,4539281,+,CG11353,5.96574021,1.16E-36,1.26E-34,TRUE,FALSE
chr3L,4629815,4630202,-,CG13717,5.01386933,6.66E-20,2.53E-18,TRUE,FALSE
chr3L,4637433,4681458,-,axo,1.654417819,1.82E-09,2.74E-08,TRUE,FALSE
chr3L,4861303,4895458,+,CG17150,2.777238073,1.87E-14,4.78E-13,TRUE,FALSE
chr3L,4896857,4898470,+,CG13705,2.534415637,4.82E-05,0.000368217,TRUE,FALSE
chr3L,4898899,4900869,+,CG13704,4.539833857,2.27E-41,3.14E-39,TRUE,FALSE
chr3L,4938047,4976172,-,Con,1.829258649,8.87E-06,7.85E-05,TRUE,FALSE
chr3L,5125895,5126320,-,CG15213,1.565703941,0.003001467,0.014614828,TRUE,FALSE
chr3L,5132772,5133573,+,CHMP2B,1.136751317,5.91E-05,0.000441841,TRUE,FALSE
chr3L,5473093,5476763,+,CG4835,1.482695786,0.010711278,0.043204745,TRUE,FALSE
chr3L,5490622,5492058,-,CG10630,8.114198898,1.07E-75,5.19E-73,TRUE,FALSE
chr3L,5531508,5544257,-,CG10625,4.236487491,2.35E-32,1.94E-30,TRUE,FALSE
chr3L,5585840,5588372,-,CG10592,1.760875332,2.96E-08,3.82E-07,TRUE,FALSE
chr3L,5588645,5590452,+,CG5150,1.007311461,0.000959201,0.005381234,TRUE,FALSE
chr3L,5757357,5757494,-,snoRNA:Psi28S-1837a,1.387692262,0.008289523,0.034795208,TRUE,FALSE
chr3L,5758946,5760184,+,Txl,1.17074379,2.35E-05,0.000193153,TRUE,FALSE
chr3L,5866631,5868557,+,CG18586,1.484521423,3.61E-06,3.43E-05,TRUE,FALSE
chr3L,5893934,5895548,-,CG32412,1.159364569,1.27E-05,0.000109297,TRUE,FALSE
chr3L,6026834,6027711,-,CG10477,4.108269821,1.72E-30,1.31E-28,TRUE,FALSE
chr3L,6028329,6029279,+,yip7,2.422447244,1.31E-15,3.81E-14,TRUE,FALSE
chr3L,6032256,6033246,+,Jon65Aiv,3.032567246,3.67E-22,1.68E-20,TRUE,FALSE
chr3L,6043873,6044798,+,Jon65Aiii,3.328291168,1.23E-25,7.22E-24,TRUE,FALSE
chr3L,6126088,6126700,-,Lcp65Ag2,1.089228774,0.004925472,0.022318545,TRUE,FALSE
chr3L,6213677,6214051,+,pncr008:3L,2.110347297,0.001591453,0.008456348,TRUE,FALSE
chr3L,6252591,6255793,-,ImpL3,2.901089331,4.59E-22,2.10E-20,TRUE,FALSE
chr3L,6556542,6577454,-,CG32397,1.280246091,2.97E-06,2.85E-05,TRUE,FALSE
chr3L,6587037,6596466,-,ndl,5.215065279,5.29E-27,3.35E-25,TRUE,FALSE
chr3L,6597454,6599129,-,zpg,1.411805664,7.52E-07,7.86E-06,TRUE,FALSE
chr3L,6659737,6660916,-,Gr65a,5.341532656,0.009538267,0.039278281,TRUE,FALSE
chr3L,6706454,6712624,-,ple,1.741975679,3.10E-10,5.11E-09,TRUE,FALSE
chr3L,6747115,6749619,-,CG10103,1.091176265,0.000107251,0.000761105,TRUE,FALSE
chr3L,6905096,6907958,-,Prat2,1.456959943,1.43E-07,1.67E-06,TRUE,FALSE
chr3L,6952646,6957902,-,sgl,1.227622836,1.48E-05,0.000126271,TRUE,FALSE
chr3L,6965843,6973153,-,G-ialpha65A,1.497529595,1.51E-07,1.75E-06,TRUE,FALSE
chr3L,6969786,6972326,+,CR32385,2.798514213,3.26E-12,6.90E-11,TRUE,FALSE
chr3L,6983721,6987541,+,bin,1.840155267,0.006443154,0.028081723,TRUE,FALSE
chr3L,7122002,7122480,+,CG15829,2.358364894,0.001455073,0.007808721,TRUE,FALSE
chr3L,7123973,7124605,+,CG8628,5.371673233,3.74E-20,1.47E-18,TRUE,FALSE
chr3L,7151198,7152010,+,CG8620,1.478572601,1.05E-06,1.07E-05,TRUE,FALSE
chr3L,7155527,7183017,-,CG42256,1.421689222,0.011454132,0.045707413,TRUE,FALSE
chr3L,7230473,7231199,-,CG14829,3.937632008,0.000143151,0.000993044,TRUE,FALSE
chr3L,7314197,7316509,-,RhoGEF4,1.279474994,7.37E-06,6.60E-05,TRUE,FALSE
chr3L,7338797,7340223,-,CG14834,1.984854675,0.000240218,0.001591602,TRUE,FALSE
chr3L,7350374,7353363,-,pst,1.58590183,2.47E-08,3.21E-07,TRUE,FALSE
chr3L,7384178,7389115,+,CG8563,6.064195353,0.000178595,0.001215346,TRUE,FALSE
chr3L,7393176,7394773,+,CG18417,8.09481686,3.31E-74,1.56E-71,TRUE,FALSE
chr3L,7555710,7562599,+,CG7526,1.471748792,1.88E-07,2.15E-06,TRUE,FALSE
chr3L,7643682,7752224,+,CG32373,2.642245983,1.46E-16,4.65E-15,TRUE,FALSE
chr3L,7644304,7645000,+,PGRP-SD,3.834106149,8.61E-34,7.82E-32,TRUE,FALSE
chr3L,7726349,7735785,-,CG7422,2.695720582,4.77E-19,1.73E-17,TRUE,FALSE
chr3L,7908536,7908946,+,CG32368,6.36036556,2.13E-67,8.44E-65,TRUE,FALSE
chr3L,7941290,7944667,+,exex,4.242646313,2.02E-16,6.28E-15,TRUE,FALSE
chr3L,8064899,8065412,+,CG13681,2.023989527,7.75E-08,9.32E-07,TRUE,FALSE
chr3L,8202676,8203771,-,CG32364,3.37965835,5.49E-20,2.12E-18,TRUE,FALSE
chr3L,8222332,8223668,+,eIF4E-3,5.310535678,1.78E-10,3.10E-09,TRUE,FALSE
chr3L,8224913,8233701,-,CG7213,5.964018465,2.79E-16,8.59E-15,TRUE,FALSE
chr3L,8231746,8274249,+,CG42330,6.050467824,1.09E-52,2.46E-50,TRUE,FALSE
chr3L,8283385,8288422,-,CG7201,7.256029844,6.84E-36,7.07E-34,TRUE,FALSE
chr3L,8295463,8297159,-,CG7194,1.120507369,8.06E-05,0.000585832,TRUE,FALSE
chr3L,8321779,8323216,+,CG34462,8.832236646,1.10E-19,4.14E-18,TRUE,FALSE
chr3L,8597756,8610174,+,CG6282,1.256415142,0.000959121,0.005381234,TRUE,FALSE
chr3L,8781243,8781640,-,CG5804,3.806963064,3.22E-17,1.07E-15,TRUE,FALSE
chr3L,8797863,8798872,+,CG34427,2.243705973,0.001308514,0.007105648,TRUE,FALSE
chr3L,9327431,9331436,+,PGRP-LA,1.013241676,0.000220619,0.001472098,TRUE,FALSE
chr3L,9331909,9341436,+,PGRP-LC,1.127589785,2.65E-05,0.000215425,TRUE,FALSE
chr3L,9342710,9344589,+,PGRP-LF,1.091687141,7.96E-05,0.000579147,TRUE,FALSE
chr3L,9364610,9365583,-,Hsp67Bc,1.266733376,0.001945345,0.010010308,TRUE,FALSE
chr3L,9370901,9372634,-,Hsp67Ba,1.391634827,0.000384125,0.002386737,TRUE,FALSE
chr3L,9374983,9375867,+,Hsp23,1.122874847,0.000235397,0.001561032,TRUE,FALSE
chr3L,9380608,9392350,-,CG4080,1.254753031,1.35E-05,0.000116047,TRUE,FALSE
chr3L,9416352,9417904,+,aay,2.233175406,8.47E-15,2.25E-13,TRUE,FALSE
chr3L,9436363,9439480,+,CG33926,1.854500449,2.63E-10,4.35E-09,TRUE,FALSE
chr3L,9443642,9444658,-,CG3448,1.269235913,1.88E-05,0.000157963,TRUE,FALSE
chr3L,9481237,9482234,-,CG32036,5.558833162,0.002442981,0.012151902,TRUE,FALSE
chr3L,9499917,9502680,-,CG3408,1.062308135,0.000168864,0.001159593,TRUE,FALSE
chr3L,9634115,9635013,+,CG18180,2.227474601,2.33E-11,4.60E-10,TRUE,FALSE
chr3L,9781675,9790626,-,CG14168,1.323555275,0.004516044,0.020762789,TRUE,FALSE
chr3L,9816448,9816997,-,Ilp5,3.111374555,0.000361681,0.002283023,TRUE,FALSE
chr3L,9853316,9857459,-,iPLA2-VIA,1.304543637,5.12E-06,4.71E-05,TRUE,FALSE
chr3L,9961542,9964102,+,Nc,1.271401339,1.02E-05,8.96E-05,TRUE,FALSE
chr3L,10079846,10082500,-,CG14160,2.152166389,4.79E-07,5.16E-06,TRUE,FALSE
chr3L,10083269,10085439,-,CG32053,3.006961466,1.41E-07,1.65E-06,TRUE,FALSE
chr3L,10085867,10087838,-,CG32054,4.307505078,2.08E-28,1.43E-26,TRUE,FALSE
chr3L,10088846,10091180,-,CG42825,2.15712723,1.13E-12,2.52E-11,TRUE,FALSE
chr3L,10211603,10213264,-,CG32055,1.454776769,0.0005208,0.003131443,TRUE,FALSE
chr3L,10632870,10633236,+,CG18628,7.761138953,4.93E-72,2.25E-69,TRUE,FALSE
chr3L,10633492,10654113,-,CG32066,1.113424999,9.69E-05,0.000695442,TRUE,FALSE
chr3L,10636632,10637715,+,CG14153,1.410420194,8.53E-07,8.81E-06,TRUE,FALSE
chr3L,10873796,10875151,-,CG6409,2.148997397,1.19E-14,3.09E-13,TRUE,FALSE
chr3L,11047136,11052759,+,CG7888,1.185277159,2.49E-05,0.000203425,TRUE,FALSE
chr3L,11063682,11066448,+,Mocs1,1.000829843,0.000541119,0.003239409,TRUE,FALSE
chr3L,11086470,11089287,-,CG6279,1.416635467,9.01E-06,7.97E-05,TRUE,FALSE
chr3L,11094974,11096123,-,Elo68alpha,5.387187396,2.34E-10,3.92E-09,TRUE,FALSE
chr3L,11096520,11096973,-,CG32071,5.341532656,0.006031936,0.026565884,TRUE,FALSE
chr3L,11116460,11127763,+,CG42575,1.558023542,6.11E-08,7.43E-07,TRUE,FALSE
chr3L,11123934,11124504,+,nol,3.141830792,0.006711071,0.029046115,TRUE,FALSE
chr3L,11226119,11229038,-,Ir68a,1.459059662,0.000107214,0.000761105,TRUE,FALSE
chr3L,11603764,11613172,-,Muc68Ca,1.247580645,0.000683228,0.003985717,TRUE,FALSE
chr3L,11624494,11636004,+,CG32091,1.034370714,0.000234406,0.001555143,TRUE,FALSE
chr3L,11686978,11690086,-,CG11652,1.472535201,2.08E-07,2.37E-06,TRUE,FALSE
chr3L,11721516,11725041,+,CG32088,6.820824592,6.53E-07,6.90E-06,TRUE,FALSE
chr3L,11726688,11759282,-,CG6024,1.346205167,8.37E-06,7.45E-05,TRUE,FALSE
chr3L,11760398,11765244,-,Muc68D,6.064195353,0.000273566,0.001786648,TRUE,FALSE
chr3L,11795184,11807855,-,CG42255,1.465926801,1.26E-07,1.48E-06,TRUE,FALSE
chr3L,11843744,11856547,-,CG34420,2.366867415,0.00019135,0.00129331,TRUE,FALSE
chr3L,11924480,11928831,+,byn,6.227160415,2.33E-34,2.18E-32,TRUE,FALSE
chr3L,11929549,11931440,-,CG14126,7.253590773,1.70E-08,2.26E-07,TRUE,FALSE
chr3L,11940785,11942348,+,CG7252,8.544591256,1.47E-16,4.66E-15,TRUE,FALSE
chr3L,11942940,11945325,+,CG17826,11.51057168,6.29E-48,1.13E-45,TRUE,FALSE
chr3L,11945498,11946393,-,obst-G,8.168509977,9.31E-14,2.25E-12,TRUE,FALSE
chr3L,11960679,11966079,-,Muc68E,1.503967574,2.76E-06,2.66E-05,TRUE,FALSE
chr3L,11966184,11966890,-,CG42397,2.751265221,1.03E-14,2.72E-13,TRUE,FALSE
chr3L,11969213,11974030,+,CG6947,8.168070929,6.88E-55,1.79E-52,TRUE,FALSE
chr3L,11974227,11976642,+,CG17824,7.535694495,2.95E-10,4.87E-09,TRUE,FALSE
chr3L,11979073,11983444,+,CG6938,5.833529982,0.001005722,0.005586111,TRUE,FALSE
chr3L,12122492,12124796,+,Lsp2,1.405573782,5.56E-05,0.000416652,TRUE,FALSE
chr3L,12172978,12176455,+,CAH2,2.714463975,2.40E-20,9.53E-19,TRUE,FALSE
chr3L,12389270,12390057,+,Pbprp1,2.322818616,1.76E-05,0.000148717,TRUE,FALSE
chr3L,12801820,12803196,+,CG32110,1.942539358,1.69E-05,0.000142591,TRUE,FALSE
chr3L,12851445,12853839,-,CG32107,2.556427772,6.67E-14,1.63E-12,TRUE,FALSE
chr3L,12894474,12895674,-,CG12520,1.852969506,1.76E-09,2.65E-08,TRUE,FALSE
chr3L,13005074,13008407,-,MICAL-like,1.06430109,0.000150555,0.001042892,TRUE,FALSE
chr3L,13017325,13017398,+,snoRNA:Me28S-A774a,3.050510344,0.009943457,0.040504413,TRUE,FALSE
chr3L,13037535,13040001,+,Syx13,1.134322886,9.69E-05,0.000695471,TRUE,FALSE
chr3L,13342325,13347949,+,CG17687,1.802810186,0.00117685,0.00646242,TRUE,FALSE
chr3L,13373458,13374443,-,CG14107,2.009683475,0.001189076,0.006513114,TRUE,FALSE
